RH_SFC,T_SFC,precipitation,time_since_rain,WindMagKmh_SFC,time_since_fire,dead_fuel_moisture,rate_of_spread,flame_height,intensity,spotting_distance,rating_1,index_1
0.0,0.0,50.0,0.0,60.0,20.0,73.998,9.77528618343466e-09,1.7632032491731963e-07,1.48741806360805e-08,,0.0,0.0
0.0,0.0,50.0,24.0,0.0,0.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,0.0,10.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,0.0,20.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,20.0,0.0,15.432577413736269,17.180399966384158,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,20.0,10.0,15.432577413736269,17.180399966384158,0.11572652137142936,23.025692789763664,,0.0,2.0
0.0,0.0,50.0,24.0,20.0,20.0,15.432577413736269,17.180399966384158,0.12540835644026163,26.14188144518556,,0.0,3.0
0.0,0.0,50.0,24.0,40.0,0.0,15.432577413736269,464.25711818071517,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,40.0,10.0,15.432577413736269,464.25711818071517,0.9326420969230458,622.2114618755276,,1.0,12.0
0.0,0.0,50.0,24.0,40.0,20.0,15.432577413736269,464.25711818071517,1.0106681781847269,706.4186263015189,,1.0,12.0
0.0,0.0,50.0,24.0,60.0,0.0,15.432577413736269,718.1799134761148,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,24.0,60.0,10.0,15.432577413736269,718.1799134761148,1.2292847354127674,962.5264887800173,,1.0,13.0
0.0,0.0,50.0,24.0,60.0,20.0,15.432577413736269,718.1799134761148,1.332128335305487,1092.7902837618033,,1.0,14.0
0.0,0.0,50.0,48.0,0.0,0.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,0.0,10.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,0.0,20.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,20.0,0.0,7.962207900819725,125.27049447133768,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,20.0,10.0,7.962207900819725,125.27049447133768,0.40700066982561234,167.89131376234644,,0.0,7.0
0.0,0.0,50.0,48.0,20.0,20.0,7.962207900819725,125.27049447133768,0.4410508884916396,190.6129322633406,,0.0,7.0
0.0,0.0,50.0,48.0,40.0,0.0,7.962207900819725,3385.1201875468632,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,40.0,10.0,7.962207900819725,3385.1201875468632,3.280025647162983,4536.8406816716115,,2.0,24.0
0.0,0.0,50.0,48.0,40.0,20.0,7.962207900819725,3385.1201875468632,3.554436965856712,5150.835300325026,,2.0,25.0
0.0,0.0,50.0,48.0,60.0,0.0,7.962207900819725,5236.59245748457,0.0,0.0,,0.0,0.0
0.0,0.0,50.0,48.0,60.0,10.0,7.962207900819725,5236.59245748457,4.323293440348033,7018.239937787089,,2.0,28.0
0.0,0.0,50.0,48.0,60.0,20.0,7.962207900819725,5236.59245748457,4.684985933543011,7968.055427590011,,2.0,30.0
0.0,0.0,100.0,0.0,0.0,0.0,73.998,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,0.0,10.0,73.998,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,0.0,20.0,73.998,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,20.0,0.0,73.998,2.3384575823682064e-10,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,20.0,10.0,73.998,2.3384575823682064e-10,1.5317546597402153e-08,3.134071732838481e-10,,0.0,0.0
0.0,0.0,100.0,0.0,20.0,20.0,73.998,2.3384575823682064e-10,1.6599032967663117e-08,3.5582222184860384e-10,,0.0,0.0
0.0,0.0,100.0,0.0,40.0,0.0,73.998,6.319093736480656e-09,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,40.0,10.0,73.998,6.319093736480656e-09,1.2344438084738365e-07,8.46904096357578e-09,,0.0,0.0
0.0,0.0,100.0,0.0,40.0,20.0,73.998,6.319093736480656e-09,1.337719023297113e-07,9.615201021123782e-09,,0.0,0.0
0.0,0.0,100.0,0.0,60.0,0.0,73.998,9.77528618343466e-09,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,0.0,60.0,10.0,73.998,9.77528618343466e-09,1.6270796005114273e-07,1.3101134841574906e-08,,0.0,0.0
0.0,0.0,100.0,0.0,60.0,20.0,73.998,9.77528618343466e-09,1.7632032491731963e-07,1.48741806360805e-08,,0.0,0.0
0.0,0.0,100.0,24.0,0.0,0.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,0.0,10.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,0.0,20.0,15.432577413736269,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,20.0,0.0,15.432577413736269,17.180399966384158,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,20.0,10.0,15.432577413736269,17.180399966384158,0.11572652137142936,23.025692789763664,,0.0,2.0
0.0,0.0,100.0,24.0,20.0,20.0,15.432577413736269,17.180399966384158,0.12540835644026163,26.14188144518556,,0.0,3.0
0.0,0.0,100.0,24.0,40.0,0.0,15.432577413736269,464.25711818071517,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,40.0,10.0,15.432577413736269,464.25711818071517,0.9326420969230458,622.2114618755276,,1.0,12.0
0.0,0.0,100.0,24.0,40.0,20.0,15.432577413736269,464.25711818071517,1.0106681781847269,706.4186263015189,,1.0,12.0
0.0,0.0,100.0,24.0,60.0,0.0,15.432577413736269,718.1799134761148,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,24.0,60.0,10.0,15.432577413736269,718.1799134761148,1.2292847354127674,962.5264887800173,,1.0,13.0
0.0,0.0,100.0,24.0,60.0,20.0,15.432577413736269,718.1799134761148,1.332128335305487,1092.7902837618033,,1.0,14.0
0.0,0.0,100.0,48.0,0.0,0.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,0.0,10.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,0.0,20.0,7.962207900819725,0.0,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,20.0,0.0,7.962207900819725,125.27049447133768,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,20.0,10.0,7.962207900819725,125.27049447133768,0.40700066982561234,167.89131376234644,,0.0,7.0
0.0,0.0,100.0,48.0,20.0,20.0,7.962207900819725,125.27049447133768,0.4410508884916396,190.6129322633406,,0.0,7.0
0.0,0.0,100.0,48.0,40.0,0.0,7.962207900819725,3385.1201875468632,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,40.0,10.0,7.962207900819725,3385.1201875468632,3.280025647162983,4536.8406816716115,,2.0,24.0
0.0,0.0,100.0,48.0,40.0,20.0,7.962207900819725,3385.1201875468632,3.554436965856712,5150.835300325026,,2.0,25.0
0.0,0.0,100.0,48.0,60.0,0.0,7.962207900819725,5236.59245748457,0.0,0.0,,0.0,0.0
0.0,0.0,100.0,48.0,60.0,10.0,7.962207900819725,5236.59245748457,4.323293440348033,7018.239937787089,,2.0,28.0
0.0,0.0,100.0,48.0,60.0,20.0,7.962207900819725,5236.59245748457,4.684985933543011,7968.055427590011,,2.0,30.0
0.0,10.0,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,0.0,10.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,0.0,20.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,20.0,0.0,5.87,162.17339645409788,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,20.0,10.0,5.87,162.17339645409788,0.47926303479848026,217.34970156288557,,0.0,8.0
0.0,10.0,0.0,0.0,20.0,20.0,5.87,162.17339645409788,0.5193588192610078,246.7647849852919,,0.0,8.0
0.0,10.0,0.0,0.0,40.0,0.0,5.87,4382.328341055723,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,40.0,10.0,5.87,4382.328341055723,3.8623893335353308,5873.329275363824,,2.0,27.0
0.0,10.0,0.0,0.0,40.0,20.0,5.87,4382.328341055723,4.185521974659876,6668.197956387076,,2.0,28.0
0.0,10.0,0.0,0.0,60.0,0.0,5.87,6779.2179496065755,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,0.0,60.0,10.0,5.87,6779.2179496065755,5.090887775278966,9085.713380824454,,2.0,32.0
0.0,10.0,0.0,0.0,60.0,20.0,5.87,6779.2179496065755,5.516798233919555,10315.330974625012,,2.0,34.0
0.0,10.0,0.0,24.0,0.0,0.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,0.0,10.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,0.0,20.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,20.0,0.0,5.87,162.17339645409788,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,20.0,10.0,5.87,162.17339645409788,0.47926303479848026,217.34970156288557,,0.0,8.0
0.0,10.0,0.0,24.0,20.0,20.0,5.87,162.17339645409788,0.5193588192610078,246.7647849852919,,0.0,8.0
0.0,10.0,0.0,24.0,40.0,0.0,5.87,4382.328341055723,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,40.0,10.0,5.87,4382.328341055723,3.8623893335353308,5873.329275363824,,2.0,27.0
0.0,10.0,0.0,24.0,40.0,20.0,5.87,4382.328341055723,4.185521974659876,6668.197956387076,,2.0,28.0
0.0,10.0,0.0,24.0,60.0,0.0,5.87,6779.2179496065755,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,24.0,60.0,10.0,5.87,6779.2179496065755,5.090887775278966,9085.713380824454,,2.0,32.0
0.0,10.0,0.0,24.0,60.0,20.0,5.87,6779.2179496065755,5.516798233919555,10315.330974625012,,2.0,34.0
0.0,10.0,0.0,48.0,0.0,0.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,0.0,10.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,0.0,20.0,5.87,0.0,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,20.0,0.0,5.87,162.17339645409788,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,20.0,10.0,5.87,162.17339645409788,0.47926303479848026,217.34970156288557,,0.0,8.0
0.0,10.0,0.0,48.0,20.0,20.0,5.87,162.17339645409788,0.5193588192610078,246.7647849852919,,0.0,8.0
0.0,10.0,0.0,48.0,40.0,0.0,5.87,4382.328341055723,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,40.0,10.0,5.87,4382.328341055723,3.8623893335353308,5873.329275363824,,2.0,27.0
0.0,10.0,0.0,48.0,40.0,20.0,5.87,4382.328341055723,4.185521974659876,6668.197956387076,,2.0,28.0
0.0,10.0,0.0,48.0,60.0,0.0,5.87,6779.2179496065755,0.0,0.0,,0.0,0.0
0.0,10.0,0.0,48.0,60.0,10.0,5.87,6779.2179496065755,5.090887775278966,9085.713380824454,,2.0,32.0
